Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /wiki/Main_Page,110,305,142,1133,244.99,0.000%,.46731,54.60,0.14,119642.0
TOTAL,110,305,142,1133,244.99,0.000%,.46731,54.60,0.14,119642.0
